,Tanggal,RH_avg,Tavg,RR,ss
446,19-02-2013,26,87,3.3,2.1
447,20-02-2013,24.7,92,46.9,0.3
448,21-02-2013,26.4,83,2.5,5.8
449,22-02-2013,25.8,85,8.6,2.1
450,23-02-2013,27.1,86,12.5,2.4
451,24-02-2013,27.6,88,4.5,1.8
452,25-02-2013,27.5,79,10,6.8
453,26-02-2013,27.3,80,10.7,3.8
454,27-02-2013,28.5,74,11.1,4.5
455,28-02-2013,26.3,83,3,4
456,01-03-2013,27.2,79,8,5.5
457,02-03-2013,27.7,81,8.2,5
458,03-03-2013,26.6,85,67,4.5
459,04-03-2013,26.1,90,46.9,3.5
460,05-03-2013,25.8,84,8.5,5
461,06-03-2013,26.6,85,8.8,6.2
462,07-03-2013,26.9,66,9,8
463,08-03-2013,25.9,86,7.7,0.8
464,09-03-2013,26.6,86,9.3,6.2
465,10-03-2013,26.6,77,9.6,5.1
466,11-03-2013,28,75,9.9,6.3
467,12-03-2013,25.8,89,21.5,3.4
468,13-03-2013,27.8,76,10.3,5
469,14-03-2013,27,83,10.6,4.8
470,15-03-2013,27,82,10.9,7.8
471,16-03-2013,26.1,84,6.5,6.2
472,17-03-2013,27.4,76,11.3,8
473,18-03-2013,27,79,11.7,7.8
474,19-03-2013,27,81,12,5
475,20-03-2013,27.4,89,21,4.3
476,21-03-2013,27.5,79,12.4,7.2
477,22-03-2013,25.2,94,33.5,3.1
478,23-03-2013,26.7,85,34,5.8
479,24-03-2013,27.3,79,5.8,5.7
480,25-03-2013,26.9,86,12.9,2.9
481,26-03-2013,26.7,85,13.2,4.7
482,27-03-2013,26.1,90,3,4.6
483,28-03-2013,26.8,84,13.7,7.5
484,29-03-2013,27.6,79,14.1,0.9
485,30-03-2013,27.2,82,14.6,5.7
486,31-03-2013,28,77,15,0.8
487,01-04-2013,27.6,85,0.5,6.2
488,02-04-2013,27.7,87,3,5
489,03-04-2013,27.6,74,0.4,5.8
490,04-04-2013,26.6,89,1,6
491,05-04-2013,27.2,84,7.3,7.8
492,06-04-2013,27.1,82,41.2,0.9
493,07-04-2013,26.7,85,8.3,5
494,08-04-2013,27.7,85,2,5.3
495,09-04-2013,28,82,7.5,5.4
496,10-04-2013,25.9,90,12.7,4.7
497,11-04-2013,27,82,7.8,1.4
498,12-04-2013,28,76,0.2,5
499,13-04-2013,25.9,79,8,4.2
500,14-04-2013,28.1,77,8.3,7.7
501,15-04-2013,28.1,75,8.6,7.9
502,16-04-2013,27.6,82,5,4.8
503,17-04-2013,27.2,87,45.1,5.5
504,18-04-2013,26.4,87,29.4,3
505,19-04-2013,26.2,84,4.5,6.3
506,20-04-2013,27.6,82,0.1,7.1
507,21-04-2013,26.7,88,59.5,3.6
508,22-04-2013,24.9,95,8.7,5.1
509,23-04-2013,26.9,82,9.2,5.8
510,24-04-2013,26.1,90,4.4,2.7
511,25-04-2013,27.1,88,1,5.4
512,26-04-2013,27.3,83,9.5,4.9
513,27-04-2013,26.8,84,9.8,5
514,28-04-2013,27.6,78,10.1,7.5
